line	l1_index	l2_index	text
66	4	4	sii
66	5	5	,
66	6	6	od
66	7	7	ombra
66	8	8	od
66	9	9	omo
66	10	10	certo
66	11	11	!
66	12	12	»
66	13	13	.
67	0	0	rispuose
67	0	1	mi
67	1	2	:
67	2	3	«
67	3	4	Non
67	4	5	omo
67	5	6	,
67	6	7	omo
67	7	8	già
67	8	9	fui
67	9	10	,
68	0	0	e
68	1	1	li
68	2	2	parenti
68	3	3	miei
68	4	4	furon
68	5	5	lombardi
68	6	6	,
69	0	0	mantoani
69	1	1	per
69	2	2	patrïa
69	3	3	ambedui
69	4	4	.
70	0	0	Nacqui
70	1	1	sub
70	2	2	Iulio
70	3	3	,
70	4	4	ancor
70	5	5	che
70	6	6	fosse
70	7	7	tardi
70	8	8	,
71	0	0	e
71	1	1	vissi
71	2	2	a
71	3	3	Roma
71	4	4	sotto
71	5	5	'l
71	6	6	buono
71	7	7	Augusto
72	0	0	in
72	0	1	il
72	1	2	tempo
72	2	3	de
72	3	4	li
72	4	5	dèi
72	5	6	falsi
72	6	7	e
72	7	8	bugiardi
72	8	9	.
73	0	0	Poeta
73	1	1	fui
73	2	2	,
73	3	3	e
73	4	4	cantai
73	5	5	di
73	6	6	quel
73	7	7	giusto
74	0	0	figliuol
74	1	1	d'
74	2	2	Anchise
74	3	3	che
74	4	4	venne
74	5	5	di
74	6	6	Troia
74	7	7	,
75	0	0	poi
75	1	1	che
75	2	2	'l
75	3	3	superbo
75	4	4	Ilïón
75	5	5	fu
75	6	6	combusto
75	7	7	.
76	0	0	Ma
76	1	1	tu
76	2	2	perché
76	3	3	ritorni
76	4	4	a
76	5	5	tanta
76	6	6	noia
76	7	7	?
77	0	0	perché
77	1	1	non
77	2	2	sali
77	3	3	il
77	4	4	dilettoso
77	5	5	monte
78	0	0	ch'
78	1	1	è
78	2	2	principio
78	3	3	e
78	4	4	cagion
78	5	5	di
78	6	6	tutta
78	7	7	gioia
78	8	8	?
78	9	9	»
78	10	10	.
79	0	0	«
79	1	1	Or
79	2	2	se'
79	3	3	tu
79	4	4	quel
79	5	5	Virgilio
79	6	6	e
79	7	7	quella
79	8	8	fonte
80	0	0	che
80	1	1	spandi
80	2	2	di
80	3	3	parlar
80	4	4	sì
80	5	5	largo
80	6	6	fiume
80	7	7	?
80	8	8	»
80	9	9	,
81	0	0	rispuos'
81	1	1	io
81	2	2	lui
81	3	3	con
81	4	4	vergognosa
81	5	5	fronte
81	6	6	.
82	0	0	«
82	1	1	O
82	2	2	de
82	3	3	li
82	4	4	altri
82	5	5	poeti
82	6	6	onore
82	7	7	e
82	8	8	lume
82	9	9	,
83	0	0	vaglia
83	0	1	mi
83	1	2	'l
83	2	3	lungo
83	3	4	studio
83	4	5	e
83	5	6	'l
83	6	7	grande
83	7	8	amore
84	0	0	che
84	1	1	m'
84	2	2	ha
84	3	3	fatto
84	4	4	cercar
84	5	5	lo
84	6	6	tuo
84	7	7	volume
84	8	8	.
85	0	0	Tu
85	1	1	se'
85	2	2	lo
85	3	3	mio
85	4	4	maestro
85	5	5	e
85	6	6	'l
85	7	7	mio
85	8	8	autore
85	9	9	,
86	0	0	tu
86	1	1	se'
86	2	2	solo
86	3	3	colui
86	4	4	da
86	5	5	cu'
86	6	6	io
86	7	7	tolsi
87	0	0	lo
87	1	1	bello
87	2	2	stilo
87	3	3	che
87	4	4	m'
87	5	5	ha
87	6	6	fatto
87	7	7	onore
87	8	8	.
88	0	0	Vedi
88	1	1	la
88	2	2	bestia
88	3	3	per
88	4	4	cu'
88	5	5	io
88	6	6	mi
88	7	7	volsi
88	8	8	;
89	0	0	aiuta
89	0	1	mi
89	1	2	da
89	2	3	lei
89	3	4	,
89	4	5	famoso
89	5	6	saggio
89	6	7	,
90	0	0	ch'
90	1	1	ella
90	2	2	mi
90	3	3	fa
90	4	4	tremar
90	5	5	le
90	6	6	vene
90	7	7	e
90	8	8	i
90	9	9	polsi
90	10	10	»
90	11	11	.
91	0	0	«
91	1	1	A
91	2	2	te
91	3	3	convien
91	4	4	tenere
91	5	5	altro
91	6	6	vïaggio
91	7	7	»
91	8	8	,
92	0	0	rispuose
92	1	1	,
92	2	2	poi
92	3	3	che
92	4	4	lagrimar
92	5	5	mi
92	6	6	vide
92	7	7	,
93	0	0	«
93	1	1	se
93	2	2	vuo'
93	3	3	campar
93	4	4	d'
93	5	5	esto
93	6	6	loco
93	7	7	selvaggio
93	8	8	;
94	0	0	ché
94	1	1	questa
94	2	2	bestia
94	3	3	,
94	4	4	per
94	5	5	la
94	6	6	qual
94	7	7	tu
94	8	8	gride
94	9	9	,
95	0	0	non
95	1	1	lascia
95	2	2	altrui
95	3	3	passar
95	4	4	per
95	5	5	la
95	6	6	sua
95	7	7	via
95	8	8	,
96	0	0	ma
96	1	1	tanto
96	2	2	lo
96	3	3	'mpedisce
96	4	4	che
96	5	5	l'
96	6	6	uccide
96	7	7	;
97	0	0	e
97	1	1	ha
97	2	2	natura
97	3	3	sì
97	4	4	malvagia
97	5	5	e
97	6	6	ria
97	7	7	,
98	0	0	che
98	1	1	mai
98	2	2	non
98	3	3	empie
98	4	4	la
98	5	5	bramosa
98	6	6	voglia
98	7	7	,
99	0	0	e
99	1	1	dopo
99	2	2	'l
99	3	3	pasto
99	4	4	ha
99	5	5	più
99	6	6	fame
99	7	7	che
99	8	8	pria
99	9	9	.
100	0	0	Molti
100	1	1	son
100	2	2	li
100	3	3	animali
100	4	4	a
100	5	5	cui
100	6	6	s'
100	7	7	ammoglia
100	8	8	,
101	0	0	e
101	1	1	più
101	2	2	saranno
101	3	3	ancora
101	4	4	,
101	5	5	infin
101	6	6	che
101	7	7	'l
101	8	8	veltro
102	0	0	verrà
102	1	1	,
102	2	2	che
102	3	3	la
102	4	4	farà
102	5	5	morir
102	6	6	con
102	7	7	doglia
102	8	8	.
103	0	0	Questi
103	1	1	non
103	2	2	ciberà
103	3	3	terra
103	4	4	né
103	5	5	peltro
103	6	6	,
104	0	0	ma
104	1	1	sapïenza
104	2	2	,
104	3	3	amore
104	4	4	e
104	5	5	virtute
104	6	6	,
105	0	0	e
105	1	1	sua
105	2	2	nazion
105	3	3	sarà
105	4	4	tra
105	5	5	feltro
105	6	6	e
105	7	7	feltro
105	8	8	.
106	0	0	Di
106	1	1	quella
106	2	2	umile
106	3	3	Italia
106	4	4	fia
106	5	5	salute
107	0	0	per
107	1	1	cui
107	2	2	morì
107	3	3	la
107	4	4	vergine
107	5	5	Cammilla
107	6	6	,
108	0	0	Eurialo
108	1	1	e
108	2	2	Turno
108	3	3	e
108	4	4	Niso
108	5	5	di
108	6	6	ferute
108	7	7	.
109	0	0	Questi
109	1	1	la
109	2	2	caccerà
109	3	3	per
109	4	4	ogne
109	5	5	villa
109	6	6	,
110	0	0	fin
110	1	1	che
110	2	2	l'
110	3	3	avrà
110	4	4	rimessa
110	5	5	ne
110	6	6	lo
110	7	7	'nferno
110	8	8	,
111	0	0	là
111	1	1	onde
111	2	2	'nvidia
111	3	3	prima
111	4	4	dipartì
111	4	5	la
111	5	6	.
112	0	0	Ond'
112	1	1	io
112	2	2	per
112	3	3	lo
112	4	4	tuo
112	5	5	me'
112	6	6	penso
112	7	7	e
112	8	8	discerno
113	0	0	che
113	1	1	tu
113	2	2	mi
113	3	3	segui
113	4	4	,
113	5	5	e
113	6	6	io
113	7	7	sarò
113	8	8	tua
113	9	9	guida
113	10	10	,
114	0	0	e
114	1	1	trarrò
114	1	2	ti
114	2	3	di
114	3	4	qui
114	4	5	per
114	5	6	loco
114	6	7	etterno
114	7	8	;
115	0	0	ove
115	1	1	udirai
115	2	2	le
115	3	3	disperate
115	4	4	strida
115	5	5	,
116	0	0	vedrai
116	1	1	li
116	2	2	antichi
116	3	3	spiriti
116	4	4	dolenti
116	5	5	,
117	0	0	ch'
117	1	1	a
117	2	2	la
117	3	3	seconda
117	4	4	morte
117	5	5	ciascun
117	6	6	grida
117	7	7	;
118	0	0	e
118	1	1	vederai
118	2	2	color
118	3	3	che
118	4	4	son
118	5	5	contenti
119	0	0	in
119	0	1	il
119	1	2	foco
119	2	3	,
119	3	4	perché
119	4	5	speran
119	5	6	di
119	6	7	venire
120	0	0	quando
120	1	1	che
120	2	2	sia
120	3	3	a
120	4	4	le
120	5	5	beate
120	6	6	genti
120	7	7	.
121	0	0	A
121	1	1	le
121	2	2	quai
121	3	3	poi
121	4	4	se
121	5	5	tu
121	6	6	vorrai
121	7	7	salire
121	8	8	,
122	0	0	anima
122	1	1	fia
122	2	2	a
122	3	3	ciò
122	4	4	più
122	5	5	di
122	6	6	me
122	7	7	degna
122	8	8	:
123	0	0	con
123	1	1	lei
123	2	2	ti
123	3	3	lascerò
123	4	4	in
123	4	5	il
123	5	6	mio
123	6	7	partire
123	7	8	;
124	0	0	ché
124	1	1	quello
124	2	2	imperador
124	3	3	che
124	4	4	là
124	5	5	sù
124	6	6	regna
124	7	7	,
125	0	0	perch'
125	1	1	i'
125	2	2	fu'
125	3	3	ribellante
125	4	4	a
125	5	5	la
125	6	6	sua
125	7	7	legge
125	8	8	,
126	0	0	non
126	1	1	vuol
126	2	2	che
126	3	3	'n
126	4	4	sua
126	5	5	città
126	6	6	per
126	7	7	me
126	8	8	si
126	9	9	vegna
126	10	10	.
127	0	0	In
127	1	1	tutte
127	2	2	parti
127	3	3	impera
127	4	4	e
127	5	5	quivi
127	6	6	regge
127	7	7	;
128	0	0	quivi
128	1	1	è
128	2	2	la
128	3	3	sua
128	4	4	città
128	5	5	e
128	6	6	l'
128	7	7	alto
128	8	8	seggio
128	9	9	:
129	0	0	oh
129	1	1	felice
129	2	2	colui
129	3	3	cu'
129	4	4	ivi
129	5	5	elegge
129	6	6	!
129	7	7	»
129	8	8	.
130	0	0	E
130	1	1	io
130	2	2	a
130	3	3	lui
130	4	4	:
130	5	5	«
130	6	6	Poeta
130	7	7	,
130	8	8	io
130	9	9	ti
130	10	10	richeggio
131	0	0	per
131	1	1	quello
131	2	2	Dio
131	3	3	che
131	4	4	tu
131	5	5	non
131	6	6	conoscesti
131	7	7	,
132	0	0	acciò
132	1	1	ch'
132	2	2	io
132	3	3	fugga
132	4	4	questo
132	5	5	male
132	6	6	e
132	7	7	peggio
132	8	8	,
133	0	0	che
133	1	1	tu
133	2	2	mi
133	3	3	meni
133	4	4	là
133	5	5	dov'
133	6	6	or
133	7	7	dicesti
133	8	8	,
134	0	0	sì
134	1	1	ch'
134	2	2	io
134	3	3	veggia
134	4	4	la
134	5	5	porta
134	6	6	di
134	7	7	san
134	8	8	Pietro
135	0	0	e
135	1	1	color
135	2	2	cui
135	3	3	tu
135	4	4	fai
135	5	5	cotanto
135	6	6	mesti
135	7	7	»
135	8	8	.
136	0	0	Allor
136	1	1	si
136	2	2	mosse
136	3	3	,
136	4	4	e
136	5	5	io
136	6	6	li
136	7	7	tenni
136	8	8	dietro
136	9	9	.
