line	l1_index	text	restored
56	3	tempo	tempo
56	4	che	che
56	5	perder	perdere
56	6	lo	lo
56	7	face	face
56	8	,	,
57	0	che	che
57	1	'n	in
57	2	tutti	tutti
57	3	suoi	suoi
57	4	pensier	pensieri
57	5	piange	piange
57	6	e	e
57	7	s'	si
57	8	attrista	attrista
57	9	;	;
58	0	tal	tal
58	1	mi	mi
58	2	fece	fece
58	3	la	la
58	4	bestia	bestia
58	5	sanza	sanza
58	6	pace	pace
58	7	,	,
59	0	che	che
59	1	,	,
59	2	venendomi	venendomi
59	3	'ncontro	incontro
59	4	,	,
59	5	a	a
59	6	poco	poco
59	7	a	a
59	8	poco	poco
60	0	mi	mi
60	1	ripigneva	ripigneva
60	2	là	là
60	3	dove	dove
60	4	'l	il
60	5	sol	sol
60	6	tace	tace
60	7	.	.
61	0	Mentre	Mentre
61	1	ch'	che
61	2	i'	io
61	3	rovinava	rovinava
61	4	in	in
61	5	basso	basso
61	6	loco	loco
61	7	,	,
62	0	dinanzi	dinanzi
62	1	a	a
62	2	li	li
62	3	occhi	occhi
62	4	mi	mi
62	5	si	si
62	6	fu	fu
62	7	offerto	offerto
63	0	chi	chi
63	1	per	per
63	2	lungo	lungo
63	3	silenzio	silenzio
63	4	parea	parea
63	5	fioco	fioco
63	6	.	.
64	0	Quando	Quando
64	1	vidi	vidi
64	2	costui	costui
64	3	nel	nel
64	4	gran	grande
64	5	diserto	diserto
64	6	,	,
65	0	«	«
65	1	Miserere	Miserere
65	2	di	di
65	3	me	me
65	4	»	»
65	5	,	,
65	6	gridai	gridai
65	7	a	a
65	8	lui	lui
65	9	,	,
66	0	«	«
66	1	qual	quale
66	2	che	che
66	3	tu	tu
66	4	sii	sii
66	5	,	,
66	6	od	od
66	7	ombra	ombra
66	8	od	od
66	9	omo	omo
66	10	certo	certo
66	11	!	!
66	12	»	»
66	13	.	.
67	0	Rispuosemi	Rispuosemi
67	1	:	:
67	2	«	«
67	3	Non	Non
67	4	omo	omo
67	5	,	,
67	6	omo	omo
67	7	già	già
67	8	fui	fui
67	9	,	,
68	0	e	e
68	1	li	li
68	2	parenti	parenti
68	3	miei	miei
68	4	furon	furono
68	5	lombardi	lombardi
68	6	,	,
69	0	mantoani	mantoani
69	1	per	per
69	2	patrïa	patrïa
69	3	ambedui	ambedui
69	4	.	.
70	0	Nacqui	Nacqui
70	1	sub	sub
70	2	Iulio	Iulio
70	3	,	,
70	4	ancor	ancora
70	5	che	che
70	6	fosse	fosse
70	7	tardi	tardi
70	8	,	,
71	0	e	e
71	1	vissi	vissi
71	2	a	a
71	3	Roma	Roma
71	4	sotto	sotto
71	5	'l	il
71	6	buono	buono
71	7	Augusto	Augusto
72	0	nel	nel
72	1	tempo	tempo
72	2	de	de
72	3	li	li
72	4	dèi	dèi
72	5	falsi	falsi
72	6	e	e
72	7	bugiardi	bugiardi
72	8	.	.
73	0	Poeta	Poeta
73	1	fui	fui
73	2	,	,
73	3	e	e
73	4	cantai	cantai
73	5	di	di
73	6	quel	quel
73	7	giusto	giusto
74	0	figliuol	figliuolo
74	1	d'	di
74	2	Anchise	Anchise
74	3	che	che
74	4	venne	venne
74	5	di	di
74	6	Troia	Troia
74	7	,	,
75	0	poi	poi
75	1	che	che
75	2	'l	il
75	3	superbo	superbo
75	4	Ilïón	Ilïón
75	5	fu	fu
75	6	combusto	combusto
75	7	.	.
76	0	Ma	Ma
76	1	tu	tu
76	2	perché	perché
76	3	ritorni	ritorni
76	4	a	a
76	5	tanta	tanta
76	6	noia	noia
76	7	?	?
77	0	perché	perché
77	1	non	non
77	2	sali	sali
77	3	il	il
77	4	dilettoso	dilettoso
77	5	monte	monte
78	0	ch'	che
78	1	è	è
78	2	principio	principio
78	3	e	e
78	4	cagion	cagione
78	5	di	di
78	6	tutta	tutta
78	7	gioia	gioia
78	8	?	?
78	9	»	»
78	10	.	.
79	0	«	«
79	1	Or	Ora
79	2	se'	sei
79	3	tu	tu
79	4	quel	quel
79	5	Virgilio	Virgilio
79	6	e	e
79	7	quella	quella
79	8	fonte	fonte
80	0	che	che
80	1	spandi	spandi
80	2	di	di
80	3	parlar	parlare
80	4	sì	sì
80	5	largo	largo
80	6	fiume	fiume
80	7	?	?
80	8	»	»
80	9	,	,
81	0	rispuos'	rispuosi
81	1	io	io
81	2	lui	lui
81	3	con	con
81	4	vergognosa	vergognosa
81	5	fronte	fronte
81	6	.	.
82	0	«	«
82	1	O	O
82	2	de	de
82	3	li	li
82	4	altri	altri
82	5	poeti	poeti
82	6	onore	onore
82	7	e	e
82	8	lume	lume
82	9	,	,
83	0	vagliami	vagliami
83	1	'l	il
83	2	lungo	lungo
83	3	studio	studio
83	4	e	e
83	5	'l	il
83	6	grande	grande
83	7	amore	amore
84	0	che	che
84	1	m'	mi
84	2	ha	ha
84	3	fatto	fatto
84	4	cercar	cercare
84	5	lo	lo
84	6	tuo	tuo
84	7	volume	volume
84	8	.	.
85	0	Tu	Tu
85	1	se'	sei
85	2	lo	lo
85	3	mio	mio
85	4	maestro	maestro
85	5	e	e
85	6	'l	il
85	7	mio	mio
85	8	autore	autore
85	9	,	,
86	0	tu	tu
86	1	se'	sei
86	2	solo	solo
86	3	colui	colui
86	4	da	da
86	5	cu'	cui
86	6	io	io
86	7	tolsi	tolsi
87	0	lo	lo
87	1	bello	bello
87	2	stilo	stilo
87	3	che	che
87	4	m'	mi
87	5	ha	ha
87	6	fatto	fatto
87	7	onore	onore
87	8	.	.
88	0	Vedi	Vedi
88	1	la	la
88	2	bestia	bestia
88	3	per	per
88	4	cu'	cui
88	5	io	io
88	6	mi	mi
88	7	volsi	volsi
88	8	;	;
89	0	aiutami	aiutami
89	1	da	da
89	2	lei	lei
89	3	,	,
89	4	famoso	famoso
89	5	saggio	saggio
89	6	,	,
90	0	ch'	che
90	1	ella	ella
90	2	mi	mi
90	3	fa	fa
90	4	tremar	tremare
90	5	le	le
90	6	vene	vene
90	7	e	e
90	8	i	i
90	9	polsi	polsi
90	10	»	»
90	11	.	.
91	0	«	«
91	1	A	A
91	2	te	te
91	3	convien	conviene
91	4	tenere	tenere
91	5	altro	altro
91	6	vïaggio	vïaggio
91	7	»	»
91	8	,	,
92	0	rispuose	rispuose
92	1	,	,
92	2	poi	poi
92	3	che	che
92	4	lagrimar	lagrimare
92	5	mi	mi
92	6	vide	vide
92	7	,	,
93	0	«	«
93	1	se	se
93	2	vuo'	vuoi
93	3	campar	campare
93	4	d'	di
93	5	esto	esto
93	6	loco	loco
93	7	selvaggio	selvaggio
93	8	;	;
94	0	ché	ché
94	1	questa	questa
94	2	bestia	bestia
94	3	,	,
94	4	per	per
94	5	la	la
94	6	qual	quale
94	7	tu	tu
94	8	gride	gride
94	9	,	,
95	0	non	non
95	1	lascia	lascia
95	2	altrui	altrui
95	3	passar	passare
95	4	per	per
95	5	la	la
95	6	sua	sua
95	7	via	via
95	8	,	,
96	0	ma	ma
96	1	tanto	tanto
96	2	lo	lo
96	3	'mpedisce	impedisce
96	4	che	che
96	5	l'	lo
96	6	uccide	uccide
96	7	;	;
97	0	e	e
97	1	ha	ha
97	2	natura	natura
97	3	sì	sì
97	4	malvagia	malvagia
97	5	e	e
97	6	ria	ria
97	7	,	,
98	0	che	che
98	1	mai	mai
98	2	non	non
98	3	empie	empie
98	4	la	la
98	5	bramosa	bramosa
98	6	voglia	voglia
98	7	,	,
99	0	e	e
99	1	dopo	dopo
99	2	'l	il
99	3	pasto	pasto
99	4	ha	ha
99	5	più	più
99	6	fame	fame
99	7	che	che
99	8	pria	pria
99	9	.	.
100	0	Molti	Molti
100	1	son	sono
100	2	li	li
100	3	animali	animali
100	4	a	a
100	5	cui	cui
100	6	s'	si
100	7	ammoglia	ammoglia
100	8	,	,
101	0	e	e
101	1	più	più
101	2	saranno	saranno
101	3	ancora	ancora
101	4	,	,
101	5	infin	infino
101	6	che	che
101	7	'l	'l
101	8	veltro	veltro
102	0	verrà	verrà
102	1	,	,
102	2	che	che
102	3	la	la
102	4	farà	farà
102	5	morir	morire
102	6	con	con
102	7	doglia	doglia
102	8	.	.
103	0	Questi	Questi
103	1	non	non
103	2	ciberà	ciberà
103	3	terra	terra
103	4	né	né
103	5	peltro	peltro
103	6	,	,
104	0	ma	ma
104	1	sapïenza	sapïenza
104	2	,	,
104	3	amore	amore
104	4	e	e
104	5	virtute	virtute
104	6	,	,
105	0	e	e
105	1	sua	sua
105	2	nazion	nazione
105	3	sarà	sarà
105	4	tra	tra
105	5	feltro	feltro
105	6	e	e
105	7	feltro	feltro
105	8	.	.
106	0	Di	Di
106	1	quella	quella
106	2	umile	umile
106	3	Italia	Italia
106	4	fia	fia
106	5	salute	salute
107	0	per	per
107	1	cui	cui
107	2	morì	morì
107	3	la	la
107	4	vergine	vergine
107	5	Cammilla	Cammilla
107	6	,	,
108	0	Eurialo	Eurialo
108	1	e	e
108	2	Turno	Turno
108	3	e	e
108	4	Niso	Niso
108	5	di	di
108	6	ferute	ferute
108	7	.	.
109	0	Questi	Questi
109	1	la	la
109	2	caccerà	caccerà
109	3	per	per
109	4	ogne	ogne
109	5	villa	villa
109	6	,	,
110	0	fin	fin
110	1	che	che
110	2	l'	la
110	3	avrà	avrà
110	4	rimessa	rimessa
110	5	ne	ne
110	6	lo	lo
110	7	'nferno	inferno
110	8	,	,
111	0	là	là
111	1	onde	onde
111	2	'nvidia	invidia
111	3	prima	prima
111	4	dipartilla	dipartilla
111	5	.	.
112	0	Ond'	Onde
112	1	io	io
112	2	per	per
112	3	lo	lo
112	4	tuo	tuo
112	5	me'	me'
112	6	penso	penso
112	7	e	e
112	8	discerno	discerno
113	0	che	che
113	1	tu	tu
113	2	mi	mi
113	3	segui	segui
113	4	,	,
113	5	e	e
113	6	io	io
113	7	sarò	sarò
113	8	tua	tua
113	9	guida	guida
113	10	,	,
114	0	e	e
114	1	trarrotti	trarrotti
114	2	di	di
114	3	qui	qui
114	4	per	per
114	5	loco	loco
114	6	etterno	etterno
114	7	;	;
115	0	ove	ove
115	1	udirai	udirai
115	2	le	le
115	3	disperate	disperate
115	4	strida	strida
115	5	,	,
116	0	vedrai	vedrai
116	1	li	li
116	2	antichi	antichi
116	3	spiriti	spiriti
116	4	dolenti	dolenti
116	5	,	,
117	0	ch'	che
117	1	a	a
117	2	la	la
117	3	seconda	seconda
117	4	morte	morte
117	5	ciascun	ciascuno
117	6	grida	grida
117	7	;	;
118	0	e	e
118	1	vederai	vederai
118	2	color	coloro
118	3	che	che
118	4	son	sono
118	5	contenti	contenti
119	0	nel	nel
119	1	foco	foco
119	2	,	,
119	3	perché	perché
119	4	speran	sperano
119	5	di	di
119	6	venire	venire
120	0	quando	quando
120	1	che	che
120	2	sia	sia
120	3	a	a
120	4	le	le
120	5	beate	beate
120	6	genti	genti
120	7	.	.
121	0	A	A
121	1	le	le
121	2	quai	quai
121	3	poi	poi
121	4	se	se
121	5	tu	tu
121	6	vorrai	vorrai
121	7	salire	salire
121	8	,	,
122	0	anima	anima
122	1	fia	fia
122	2	a	a
122	3	ciò	ciò
122	4	più	più
122	5	di	di
122	6	me	me
122	7	degna	degna
122	8	:	:
123	0	con	con
123	1	lei	lei
123	2	ti	ti
123	3	lascerò	lascerò
123	4	nel	nel
123	5	mio	mio
123	6	partire	partire
123	7	;	;
124	0	ché	ché
124	1	quello	quello
124	2	imperador	imperadore
124	3	che	che
124	4	là	là
124	5	sù	sù
124	6	regna	regna
124	7	,	,
125	0	perch'	perché
125	1	i'	io
125	2	fu'	fui
125	3	ribellante	ribellante
125	4	a	a
125	5	la	la
125	6	sua	sua
125	7	legge	legge
125	8	,	,
126	0	non	non
126	1	vuol	vuole
126	2	che	che
126	3	'n	in
126	4	sua	sua
126	5	città	città
126	6	per	per
126	7	me	me
126	8	si	si
126	9	vegna	vegna
126	10	.	.
127	0	In	In
127	1	tutte	tutte
127	2	parti	parti
127	3	impera	impera
127	4	e	e
127	5	quivi	quivi
127	6	regge	regge
127	7	;	;
128	0	quivi	quivi
128	1	è	è
128	2	la	la
128	3	sua	sua
128	4	città	città
128	5	e	e
128	6	l'	lo
128	7	alto	alto
128	8	seggio	seggio
128	9	:	:
129	0	oh	oh
129	1	felice	felice
129	2	colui	colui
129	3	cu'	cui
129	4	ivi	ivi
129	5	elegge	elegge
129	6	!	!
129	7	»	»
129	8	.	.
130	0	E	E
130	1	io	io
130	2	a	a
130	3	lui	lui
130	4	:	:
130	5	«	«
130	6	Poeta	Poeta
130	7	,	,
130	8	io	io
130	9	ti	ti
130	10	richeggio	richeggio
131	0	per	per
131	1	quello	quello
131	2	Dio	Dio
131	3	che	che
131	4	tu	tu
131	5	non	non
131	6	conoscesti	conoscesti
131	7	,	,
132	0	acciò	acciò
132	1	ch'	che
132	2	io	io
132	3	fugga	fugga
132	4	questo	questo
132	5	male	male
132	6	e	e
132	7	peggio	peggio
132	8	,	,
133	0	che	che
133	1	tu	tu
133	2	mi	mi
133	3	meni	meni
133	4	là	là
133	5	dov'	dove
133	6	or	ora
133	7	dicesti	dicesti
133	8	,	,
134	0	sì	sì
134	1	ch'	che
134	2	io	io
134	3	veggia	veggia
134	4	la	la
134	5	porta	porta
134	6	di	di
134	7	san	san
134	8	Pietro	Pietro
135	0	e	e
135	1	color	coloro
135	2	cui	cui
135	3	tu	tu
135	4	fai	fai
135	5	cotanto	cotanto
135	6	mesti	mesti
135	7	»	»
135	8	.	.
136	0	Allor	Allora
136	1	si	si
136	2	mosse	mosse
136	3	,	,
136	4	e	e
136	5	io	io
136	6	li	li
136	7	tenni	tenni
136	8	dietro	dietro
136	9	.	.
